City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
294,Poliçan,AL,40.6122,20.0981,59.59,81,82,1.83,moderate rain
295,Maralal,KE,1.0968,36.698,61.77,82,98,7.54,light rain
296,Nyurba,RU,63.2842,118.3319,23.67,79,82,12.19,broken clouds
297,Kui Buri,TH,12.0828,99.8543,78.01,85,100,4.14,light rain
298,Omsukchan,RU,62.5333,155.8,17.01,100,78,6.96,broken clouds
299,Khandyga,RU,62.6667,135.6,29.79,94,100,4.94,overcast clouds
300,Quimper,FR,48.0,-4.1,63.18,48,0,5.75,clear sky
301,Nouadhibou,MR,20.931,-17.0347,73.38,68,0,20.71,dust
302,Viladecans,ES,41.314,2.0143,72.59,67,0,10.0,clear sky
303,Constitución,CL,-35.3333,-72.4167,59.27,58,1,13.31,clear sky
304,Culianan,PH,6.9803,122.1467,79.66,84,99,1.14,overcast clouds
305,Henties Bay,NA,-22.116,14.2845,62.24,76,2,4.92,clear sky
306,Kenitra,MA,34.261,-6.5802,70.56,56,25,12.37,scattered clouds
307,Abu Samrah,SY,35.3029,37.1841,65.05,61,0,16.42,clear sky
308,Severo-Yeniseyskiy,RU,60.3725,93.0408,20.3,95,71,3.02,broken clouds
309,Aksarka,RU,66.5606,67.7975,12.02,90,29,5.95,scattered clouds
310,Athens,GR,37.9795,23.7162,67.6,47,20,11.01,few clouds
311,Opuwo,NA,-18.0607,13.84,77.65,29,29,5.61,scattered clouds
312,Faanui,PF,-16.4833,-151.75,80.4,74,29,10.98,scattered clouds
313,Christchurch,NZ,-43.5333,172.6333,63.32,78,75,3.44,light rain
314,Laas,IT,46.6166,10.7002,54.7,88,100,3.62,overcast clouds
315,Bella Union,UY,-30.2752,-57.6007,67.82,67,89,10.04,overcast clouds
316,Grajaú,BR,-5.8194,-46.1386,88.79,51,13,5.21,few clouds
317,Taitung City,TW,22.7583,121.1444,69.8,87,100,14.79,moderate rain
318,‘Ewa Beach,US,21.3156,-158.0072,73.35,78,75,8.05,light rain
319,Gornopravdinsk,RU,60.05,69.9,37.69,67,99,4.81,overcast clouds
